"id","answer","query","d1A","d2A","d3A","d4A","d5A","d1B","d2B","d3B","d4B","d5B","DCGlzA","DCGlzB","DCGll2A","DCGll2B","DCGll3A","DCGll3B","DCGll5A","DCGll5B","DCGllA","DCGllB","DCGlnA","DCGlnB","DCGe2zA","DCGe2zB","DCGe2l2A","DCGe2l2B","DCGe2l3A","DCGe2l3B","DCGe2l5A","DCGe2l5B","DCGe2lA","DCGe2lB","DCGe2nA","DCGe2nB","DCGe3zA","DCGe3zB","DCGe3l2A","DCGe3l2B","DCGe3l3A","DCGe3l3B","DCGe3l5A","DCGe3l5B","DCGe3lA","DCGe3lB","DCGe3nA","DCGe3nB","DCGe5zA","DCGe5zB","DCGe5l2A","DCGe5l2B","DCGe5l3A","DCGe5l3B","DCGe5l5A","DCGe5l5B","DCGe5lA","DCGe5lB","DCGe5nA","DCGe5nB","DCGb1zA","DCGb1zB","DCGb1l2A","DCGb1l2B","DCGb1l3A","DCGb1l3B","DCGb1l5A","DCGb1l5B","DCGb1lA","DCGb1lB","DCGb1nA","DCGb1nB","DCGb2zA","DCGb2zB","DCGb2l2A","DCGb2l2B","DCGb2l3A","DCGb2l3B","DCGb2l5A","DCGb2l5B","DCGb2lA","DCGb2lB","DCGb2nA","DCGb2nB","comments"
3800,"good","b014839","b000670","b004077","b014122","b005863","f005833","b019894","f007197","f003945","b011148","b004077",0,0.128,0,0.158,0,0.177,0,0.189,0,0.167,0,0.2,0,0.085,0,0.105,0,0.118,0,0.126,0,0.111,0,0.133,0,0.064,0,0.079,0,0.089,0,0.095,0,0.083,0,0.1,0,0.043,0,0.053,0,0.059,0,0.063,0,0.056,0,0.067,0,0.255,0,0.316,0,0.355,0,0.378,0,0.333,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,""
3801,"bad","b019365","f014755","b009057","b011832","d019705","a000987","d005924","b002715","b009057","d019705","a009930",0.664,0.226,0.597,0.257,0.553,0.279,0.527,0.29,0.6,0.267,0.5,0.3,0.589,0.151,0.511,0.172,0.46,0.186,0.43,0.194,0.511,0.178,0.4,0.2,0.551,0.113,0.468,0.129,0.413,0.14,0.382,0.145,0.467,0.133,0.35,0.15,0.513,0.075,0.425,0.086,0.367,0.093,0.333,0.097,0.422,0.089,0.3,0.1,0.891,0.453,0.854,0.515,0.832,0.558,0.817,0.581,0.867,0.533,0.8,0.6,0.438,0,0.339,0,0.274,0,0.236,0,0.333,0,0.2,0,""
3802,"bad","d010217","d007256","e003419","d012550","d009433","d008627","e003419","d008627","e018524","d004511","d012142",0.073,0.172,0.085,0.223,0.093,0.255,0.098,0.276,0.1,0.2,0.1,0.3,0.049,0.114,0.057,0.149,0.062,0.17,0.065,0.184,0.067,0.133,0.067,0.2,0.036,0.086,0.042,0.112,0.047,0.127,0.049,0.138,0.05,0.1,0.05,0.15,0.024,0.057,0.028,0.074,0.031,0.085,0.033,0.092,0.033,0.067,0.033,0.1,0.146,0.343,0.17,0.447,0.187,0.509,0.195,0.551,0.2,0.4,0.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,""
3803,"a","b015999","a005341","a002721","a004279","a004388","b016835","f002672","a006992","d013019","e013794","b010900",1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,""
3804,"b","d017427","e011446","d008533","e010865","d002244","d003879","d012733","d007692","d010905","d004768","d004113",0.252,0.672,0.311,0.723,0.347,0.755,0.371,0.776,0.267,0.7,0.4,0.8,0.197,0.562,0.251,0.631,0.283,0.673,0.305,0.701,0.2,0.6,0.333,0.733,0.17,0.507,0.221,0.585,0.251,0.632,0.272,0.664,0.167,0.55,0.3,0.7,0.142,0.453,0.191,0.539,0.219,0.591,0.239,0.626,0.133,0.5,0.267,0.667,0.416,1,0.491,1,0.539,1,0.568,1,0.467,1,0.6,1,0.088,0.343,0.131,0.447,0.155,0.509,0.173,0.551,0.067,0.4,0.2,0.6,""
3805,"bad","b001148","b004509","e013756","b013710","b008728","b003334","e013469","e008934","b013710","e017379","f010038",0.391,0.073,0.393,0.085,0.392,0.093,0.394,0.098,0.367,0.1,0.4,0.1,0.26,0.049,0.262,0.057,0.261,0.062,0.263,0.065,0.244,0.067,0.267,0.067,0.195,0.036,0.197,0.042,0.196,0.047,0.197,0.049,0.183,0.05,0.2,0.05,0.13,0.024,0.131,0.028,0.131,0.031,0.131,0.033,0.122,0.033,0.133,0.033,0.781,0.146,0.786,0.17,0.783,0.187,0.788,0.195,0.733,0.2,0.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,""
3806,"bad","b011836","f007206","f015650","b007296","b014522","a004804","b011724","b019969","a005327","b002025","b007164",0.263,1,0.235,1,0.214,1,0.205,1,0.2,1,0.2,1,0.175,1,0.157,1,0.143,1,0.136,1,0.133,1,0.133,1,0.131,1,0.118,1,0.107,1,0.102,1,0.1,1,0.1,1,0.088,1,0.078,1,0.071,1,0.068,1,0.067,1,0.067,1,0.526,1,0.47,1,0.428,1,0.409,1,0.4,1,0.4,1,0,1,0,1,0,1,0,1,0,1,0,1,""
3807,"good","d011706","d018434","d019278","d016605","d006485","d008619","d002229","d008619","d006485","d004770","e019093",1,0.912,1,0.869,1,0.845,1,0.827,1,0.933,1,0.8,1,0.912,1,0.869,1,0.845,1,0.827,1,0.933,1,0.8,1,0.912,1,0.869,1,0.845,1,0.827,1,0.933,1,0.8,1,0.912,1,0.869,1,0.845,1,0.827,1,0.933,1,0.8,1,0.912,1,0.869,1,0.845,1,0.827,1,0.933,1,0.8,1,0.912,1,0.869,1,0.845,1,0.827,1,0.933,1,0.8,""
3808,"b","e012026","a006400","d019231","d006422","e015274","d015108","e006775","e005737","e013904","e000426","e013253",0,0.781,0,0.83,0,0.863,0,0.882,0,0.833,0,0.9,0,0.708,0,0.774,0,0.817,0,0.842,0,0.778,0,0.867,0,0.672,0,0.746,0,0.795,0,0.823,0,0.75,0,0.85,0,0.635,0,0.717,0,0.772,0,0.803,0,0.722,0,0.833,0,1,0,1,0,1,0,1,0,1,0,1,0,0.562,0,0.661,0,0.726,0,0.764,0,0.667,0,0.8,""
3809,"b","d010713","d005607","d006445","d006340","d007100","e012157","d007100","e015119","d015681","d006340","d013579",0.31,0.562,0.35,0.616,0.379,0.646,0.393,0.67,0.4,0.567,0.4,0.7,0.255,0.489,0.29,0.56,0.315,0.601,0.327,0.63,0.333,0.511,0.333,0.667,0.228,0.453,0.26,0.532,0.283,0.578,0.294,0.611,0.3,0.483,0.3,0.65,0.201,0.416,0.23,0.503,0.251,0.555,0.261,0.591,0.267,0.456,0.267,0.633,0.474,0.781,0.53,0.786,0.572,0.783,0.591,0.788,0.6,0.733,0.6,0.8,0.146,0.343,0.17,0.447,0.187,0.509,0.195,0.551,0.2,0.4,0.2,0.6,""
3810,"b","b015999","d016702","f002672","d011980","d013019","b000925","a007843","b010934","a005930","b000537","b013481",0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,""
3811,"bad","e012895","b006627","d007922","e012441","b010900","a004973","e010865","d019948","d007922","e003786","e015770",0.182,0.325,0.192,0.396,0.202,0.44,0.204,0.468,0.233,0.367,0.2,0.5,0.122,0.246,0.128,0.308,0.135,0.345,0.136,0.37,0.156,0.267,0.133,0.4,0.091,0.206,0.096,0.264,0.101,0.297,0.102,0.321,0.117,0.217,0.1,0.35,0.061,0.167,0.064,0.219,0.067,0.25,0.068,0.272,0.078,0.167,0.067,0.3,0.365,0.562,0.384,0.661,0.404,0.726,0.408,0.764,0.467,0.667,0.4,0.8,0,0.088,0,0.131,0,0.155,0,0.173,0,0.067,0,0.2,""
3812,"bad","b018747","b000640","e009922","b010952","e006320","b019980","a006508","b011722","b002037","b000640","e008302",0,0.657,0,0.553,0,0.491,0,0.449,0,0.6,0,0.4,0,0.657,0,0.553,0,0.491,0,0.449,0,0.6,0,0.4,0,0.657,0,0.553,0,0.491,0,0.449,0,0.6,0,0.4,0,0.657,0,0.553,0,0.491,0,0.449,0,0.6,0,0.4,0,0.657,0,0.553,0,0.491,0,0.449,0,0.6,0,0.4,0,0.657,0,0.553,0,0.491,0,0.449,0,0.6,0,0.4,""
3813,"bad","e015354","e000956","d001659","e017735","e002879","b001830","a005721","b007040","d014542","d007272","d002981",0.474,0,0.485,0,0.492,0,0.496,0,0.5,0,0.5,0,0.401,0,0.429,0,0.446,0,0.457,0,0.444,0,0.467,0,0.365,0,0.4,0,0.423,0,0.437,0,0.417,0,0.45,0,0.328,0,0.372,0,0.4,0,0.418,0,0.389,0,0.433,0,0.693,0,0.655,0,0.628,0,0.615,0,0.667,0,0.6,0,0.255,0,0.316,0,0.355,0,0.378,0,0.333,0,0.4,0,""
3814,"b","d008986","e000405","d006531","d012986","b011661","b008998","d007880","d008942","e000419","d004719","e012145",0.365,0.766,0.384,0.699,0.404,0.659,0.408,0.631,0.467,0.733,0.4,0.6,0.365,0.766,0.384,0.699,0.404,0.659,0.408,0.631,0.467,0.733,0.4,0.6,0.365,0.766,0.384,0.699,0.404,0.659,0.408,0.631,0.467,0.733,0.4,0.6,0.365,0.766,0.384,0.699,0.404,0.659,0.408,0.631,0.467,0.733,0.4,0.6,0.365,0.766,0.384,0.699,0.404,0.659,0.408,0.631,0.467,0.733,0.4,0.6,0.365,0.766,0.384,0.699,0.404,0.659,0.408,0.631,0.467,0.733,0.4,0.6,""
3815,"bad","e006980","e005193","e015187","b002385","b008224","d014208","a002024","d014208","e003554","b007331","b019877",0.529,0.146,0.519,0.17,0.516,0.187,0.511,0.195,0.567,0.2,0.5,0.2,0.401,0.146,0.403,0.17,0.406,0.187,0.406,0.195,0.444,0.2,0.4,0.2,0.338,0.146,0.344,0.17,0.352,0.187,0.353,0.195,0.383,0.2,0.35,0.2,0.274,0.146,0.286,0.17,0.297,0.187,0.301,0.195,0.322,0.2,0.3,0.2,0.912,0.146,0.869,0.17,0.845,0.187,0.827,0.195,0.933,0.2,0.8,0.2,0.146,0.146,0.17,0.17,0.187,0.187,0.195,0.195,0.2,0.2,0.2,0.2,""
3816,"b","e012026","e012937","d006274","e016095","f007718","b000115","e009297","e013904","e019574","e012453","e013253",0.401,0.781,0.361,0.83,0.339,0.863,0.322,0.882,0.4,0.833,0.3,0.9,0.268,0.708,0.241,0.774,0.226,0.817,0.215,0.842,0.267,0.778,0.2,0.867,0.201,0.672,0.181,0.746,0.169,0.795,0.161,0.823,0.2,0.75,0.15,0.85,0.134,0.635,0.12,0.717,0.113,0.772,0.107,0.803,0.133,0.722,0.1,0.833,0.803,1,0.723,1,0.678,1,0.644,1,0.8,1,0.6,1,0,0.562,0,0.661,0,0.726,0,0.764,0,0.667,0,0.8,""
3817,"good","a007956","a005293","a007500","a002438","b007346","b016317","b012493","a003873","b008816","a004471","b004637",0.912,0.617,0.869,0.65,0.845,0.671,0.827,0.684,0.933,0.633,0.8,0.7,0.912,0.489,0.869,0.534,0.845,0.561,0.827,0.579,0.933,0.511,0.8,0.6,0.912,0.425,0.869,0.476,0.845,0.506,0.827,0.526,0.933,0.45,0.8,0.55,0.912,0.361,0.869,0.417,0.845,0.451,0.827,0.474,0.933,0.389,0.8,0.5,0.912,1,0.869,1,0.845,1,0.827,1,0.933,1,0.8,1,0.912,0.234,0.869,0.301,0.845,0.341,0.827,0.369,0.933,0.267,0.8,0.4,""
3818,"b","e015744","b010900","e010465","e004867","d012286","e017941","e017674","e007589","e017941","e010067","e004443",0.27,1,0.323,1,0.356,1,0.377,1,0.3,1,0.4,1,0.209,1,0.259,1,0.289,1,0.309,1,0.222,1,0.333,1,0.179,1,0.227,1,0.256,1,0.275,1,0.183,1,0.3,1,0.148,1,0.195,1,0.222,1,0.241,1,0.144,1,0.267,1,0.453,1,0.515,1,0.558,1,0.581,1,0.533,1,0.6,1,0.088,1,0.131,1,0.155,1,0.173,1,0.067,1,0.2,1,""
3819,"a","b015999","a007843","a003315","e003335","b010934","b001644","d013762","a009176","a006992","a004388","a009987",0.701,0.416,0.658,0.491,0.627,0.539,0.612,0.568,0.633,0.467,0.6,0.6,0.65,0.416,0.6,0.491,0.565,0.539,0.548,0.568,0.578,0.467,0.533,0.6,0.624,0.416,0.572,0.491,0.534,0.539,0.516,0.568,0.55,0.467,0.5,0.6,0.599,0.416,0.543,0.491,0.504,0.539,0.483,0.568,0.522,0.467,0.467,0.6,0.854,0.416,0.83,0.491,0.813,0.539,0.805,0.568,0.8,0.467,0.8,0.6,0.547,0.416,0.485,0.491,0.442,0.539,0.419,0.568,0.467,0.467,0.4,0.6,""
3820,"good","e000039","e012206","e001183","d004770","e004291","b006949","e013756","d013034","e013186","e012157","e000387",0.219,0.609,0.253,0.563,0.276,0.528,0.289,0.512,0.267,0.533,0.3,0.5,0.182,0.552,0.217,0.488,0.24,0.444,0.254,0.42,0.222,0.467,0.267,0.4,0.164,0.524,0.2,0.451,0.222,0.401,0.236,0.374,0.2,0.433,0.25,0.35,0.146,0.495,0.182,0.414,0.204,0.359,0.218,0.328,0.178,0.4,0.233,0.3,0.328,0.781,0.36,0.786,0.385,0.783,0.395,0.788,0.4,0.733,0.4,0.8,0.109,0.438,0.146,0.339,0.168,0.274,0.183,0.236,0.133,0.333,0.2,0.2,""
3821,"good","f001490","f002127","a002856","f008160","a000827","a008692","b008235","a008692","f003575","f002127","a002800",0.891,0.489,0.854,0.576,0.832,0.633,0.817,0.666,0.867,0.567,0.8,0.7,0.891,0.465,0.854,0.548,0.832,0.602,0.817,0.633,0.867,0.533,0.8,0.667,0.891,0.453,0.854,0.534,0.832,0.586,0.817,0.617,0.867,0.517,0.8,0.65,0.891,0.44,0.854,0.52,0.832,0.571,0.817,0.601,0.867,0.5,0.8,0.633,0.891,0.562,0.854,0.661,0.832,0.726,0.817,0.764,0.867,0.667,0.8,0.8,0.891,0.416,0.854,0.491,0.832,0.539,0.817,0.568,0.867,0.467,0.8,0.6,""
3822,"bad","e008019","b007287","b012666","e002377","e003377","b002075","e015335","e002258","e016463","e005765","e014224",0.281,0.781,0.33,0.83,0.363,0.863,0.382,0.882,0.333,0.833,0.4,0.9,0.187,0.708,0.22,0.774,0.242,0.817,0.255,0.842,0.222,0.778,0.267,0.867,0.141,0.672,0.165,0.746,0.182,0.795,0.191,0.823,0.167,0.75,0.2,0.85,0.094,0.635,0.11,0.717,0.121,0.772,0.127,0.803,0.111,0.722,0.133,0.833,0.562,1,0.661,1,0.726,1,0.764,1,0.667,1,0.8,1,0,0.562,0,0.661,0,0.726,0,0.764,0,0.667,0,0.8,""
3823,"good","b000472","a004932","a001907","b004116","a003022","b002455","a003022","b012282","a009360","a004388","a004932",1,0.927,1,0.915,1,0.907,1,0.902,1,0.9,1,0.9,1,0.903,1,0.887,1,0.875,1,0.87,1,0.867,1,0.867,1,0.891,1,0.873,1,0.86,1,0.853,1,0.85,1,0.85,1,0.878,1,0.859,1,0.844,1,0.837,1,0.833,1,0.833,1,1,1,1,1,1,1,1,1,1,1,1,1,0.854,1,0.83,1,0.813,1,0.805,1,0.8,1,0.8,""
3824,"bad","b016602","b000156","b019294","b015975","b009827","f006058","b008258","b002647","f006058","b006767","a008167",0.38,0.562,0.386,0.661,0.385,0.726,0.389,0.764,0.333,0.667,0.4,0.8,0.282,0.562,0.301,0.661,0.308,0.726,0.317,0.764,0.244,0.667,0.333,0.8,0.234,0.562,0.258,0.661,0.27,0.726,0.281,0.764,0.2,0.667,0.3,0.8,0.185,0.562,0.216,0.661,0.231,0.726,0.245,0.764,0.156,0.667,0.267,0.8,0.672,0.562,0.64,0.661,0.615,0.726,0.605,0.764,0.6,0.667,0.6,0.8,0.088,0.562,0.131,0.661,0.155,0.726,0.173,0.764,0.067,0.667,0.2,0.8,"no"
3825,"bad","f010067","e013756","e001198","e009801","a007236","d004770","e013756","e001198","d004770","e008934","e009801",0.055,0,0.073,0,0.084,0,0.091,0,0.067,0,0.1,0,0.036,0,0.049,0,0.056,0,0.061,0,0.044,0,0.067,0,0.027,0,0.037,0,0.042,0,0.046,0,0.033,0,0.05,0,0.018,0,0.024,0,0.028,0,0.03,0,0.022,0,0.033,0,0.109,0,0.146,0,0.168,0,0.183,0,0.133,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,""
3826,"b","a007204","e014774","a002137","a001127","b017742","a003968","b005968","b014745","a002196","a001029","b019676",0.044,0.956,0.066,0.934,0.077,0.923,0.087,0.913,0.033,0.967,0.1,0.9,0.029,0.942,0.044,0.913,0.052,0.897,0.058,0.885,0.022,0.956,0.067,0.867,0.022,0.934,0.033,0.902,0.039,0.884,0.043,0.87,0.017,0.95,0.05,0.85,0.015,0.927,0.022,0.891,0.026,0.871,0.029,0.856,0.011,0.944,0.033,0.833,0.088,1,0.131,1,0.155,1,0.173,1,0.067,1,0.2,1,0,0.912,0,0.869,0,0.845,0,0.827,0,0.933,0,0.8,""
3827,"a","b001476","a009480","a007957","a008006","b018932","a009161","e005080","b004885","b003882","a001802","e008201",0.675,0.255,0.604,0.316,0.56,0.355,0.532,0.378,0.633,0.333,0.5,0.4,0.596,0.255,0.516,0.316,0.464,0.355,0.433,0.378,0.533,0.333,0.4,0.4,0.557,0.255,0.472,0.316,0.417,0.355,0.384,0.378,0.483,0.333,0.35,0.4,0.517,0.255,0.427,0.316,0.369,0.355,0.335,0.378,0.433,0.333,0.3,0.4,0.912,0.255,0.869,0.316,0.845,0.355,0.827,0.378,0.933,0.333,0.8,0.4,0.438,0.255,0.339,0.316,0.274,0.355,0.236,0.378,0.333,0.333,0.2,0.4,""
3828,"b","d009750","a006992","f012842","e012443","b009534","e010067","d000314","d008047","d019560","d001022","d013041",0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,""
3829,"a","e009003","e002848","e007371","e007880","e003569","d009698","d003380","d008348","e009197","e012747","e003732",0.912,0.117,0.869,0.15,0.845,0.171,0.827,0.184,0.933,0.133,0.8,0.2,0.912,0.078,0.869,0.1,0.845,0.114,0.827,0.123,0.933,0.089,0.8,0.133,0.912,0.058,0.869,0.075,0.845,0.085,0.827,0.092,0.933,0.067,0.8,0.1,0.912,0.039,0.869,0.05,0.845,0.057,0.827,0.061,0.933,0.044,0.8,0.067,0.912,0.234,0.869,0.301,0.845,0.341,0.827,0.369,0.933,0.267,0.8,0.4,0.912,0,0.869,0,0.845,0,0.827,0,0.933,0,0.8,0,""
3830,"bad","d014060","e013756","e013469","e001198","e009801","d015549","e013469","d012929","d019359","e013756","d018305",0.044,0.343,0.066,0.408,0.077,0.45,0.087,0.475,0.033,0.4,0.1,0.5,0.029,0.307,0.044,0.372,0.052,0.414,0.058,0.439,0.022,0.356,0.067,0.467,0.022,0.288,0.033,0.354,0.039,0.396,0.043,0.422,0.017,0.333,0.05,0.45,0.015,0.27,0.022,0.336,0.026,0.378,0.029,0.404,0.011,0.311,0.033,0.433,0.088,0.453,0.131,0.515,0.155,0.558,0.173,0.581,0.067,0.533,0.2,0.6,0,0.234,0,0.301,0,0.341,0,0.369,0,0.267,0,0.4,""
3831,"bad","a003317","b013454","b016040","b015257","b008990","b005064","e001198","b008537","e009801","b014108","b014548",0.891,0.142,0.893,0.204,0.892,0.238,0.894,0.265,0.867,0.133,0.9,0.3,0.854,0.124,0.857,0.18,0.855,0.211,0.858,0.234,0.822,0.111,0.867,0.267,0.836,0.115,0.84,0.168,0.837,0.197,0.841,0.219,0.8,0.1,0.85,0.25,0.818,0.106,0.822,0.156,0.819,0.183,0.823,0.204,0.778,0.089,0.833,0.233,1,0.197,1,0.277,1,0.322,1,0.356,1,0.2,1,0.4,0.781,0.088,0.786,0.131,0.783,0.155,0.788,0.173,0.733,0.067,0.8,0.2,""
3832,"good","d019684","e001198","e013756","e013469","d014177","d005505","f004205","e001198","d005505","d014177","d009846",0.044,0.161,0.066,0.216,0.077,0.248,0.087,0.271,0.033,0.167,0.1,0.3,0.029,0.136,0.044,0.188,0.052,0.217,0.058,0.238,0.022,0.133,0.067,0.267,0.022,0.124,0.033,0.174,0.039,0.201,0.043,0.222,0.017,0.117,0.05,0.25,0.015,0.112,0.022,0.159,0.026,0.186,0.029,0.206,0.011,0.1,0.033,0.233,0.088,0.234,0.131,0.301,0.155,0.341,0.173,0.369,0.067,0.267,0.2,0.4,0,0.088,0,0.131,0,0.155,0,0.173,0,0.067,0,0.2,""
3833,"a","d000312","d003657","b010740","d000193","d006445","d011785","b010740","e004662","d003657","d011785","d012550",0.562,0.27,0.616,0.362,0.646,0.416,0.67,0.454,0.567,0.3,0.7,0.5,0.489,0.246,0.56,0.334,0.601,0.385,0.63,0.421,0.511,0.267,0.667,0.467,0.453,0.234,0.532,0.32,0.578,0.369,0.611,0.405,0.483,0.25,0.65,0.45,0.416,0.221,0.503,0.306,0.555,0.354,0.591,0.389,0.456,0.233,0.633,0.433,0.781,0.343,0.786,0.447,0.783,0.509,0.788,0.551,0.733,0.4,0.8,0.6,0.343,0.197,0.447,0.277,0.509,0.322,0.551,0.356,0.4,0.2,0.6,0.4,""
3834,"bad","d002538","f014267","e008869","e000271","b015858","a000208","e008869","d009363","d004789","f014267","d008627",0,0.27,0,0.323,0,0.356,0,0.377,0,0.3,0,0.4,0,0.209,0,0.259,0,0.289,0,0.309,0,0.222,0,0.333,0,0.179,0,0.227,0,0.256,0,0.275,0,0.183,0,0.3,0,0.148,0,0.195,0,0.222,0,0.241,0,0.144,0,0.267,0,0.453,0,0.515,0,0.558,0,0.581,0,0.533,0,0.6,0,0.088,0,0.131,0,0.155,0,0.173,0,0.067,0,0.2,""
3835,"a","b015999","b013481","a004388","b016835","b010090","a002721","a005601","b008925","b010316","b004111","a004683",1,0.153,1,0.173,1,0.186,1,0.193,1,0.167,1,0.2,1,0.102,1,0.115,1,0.124,1,0.128,1,0.111,1,0.133,1,0.077,1,0.086,1,0.093,1,0.096,1,0.083,1,0.1,1,0.051,1,0.058,1,0.062,1,0.064,1,0.056,1,0.067,1,0.307,1,0.345,1,0.372,1,0.385,1,0.333,1,0.4,1,0,1,0,1,0,1,0,1,0,1,0,""
3836,"bad","a002038","a003420","b012192","a005976","f012103","e000588","d010673","a003420","a003760","a005976","b000472",0,0.117,0,0.15,0,0.171,0,0.184,0,0.133,0,0.2,0,0.078,0,0.1,0,0.114,0,0.123,0,0.089,0,0.133,0,0.058,0,0.075,0,0.085,0,0.092,0,0.067,0,0.1,0,0.039,0,0.05,0,0.057,0,0.061,0,0.044,0,0.067,0,0.234,0,0.301,0,0.341,0,0.369,0,0.267,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,""
3837,"good","d014514","d004754","d014520","d010580","d011911","d012644","d010580","d007326","e005741","d014192","d014520",1,0.745,1,0.723,1,0.705,1,0.698,1,0.667,1,0.7,1,0.708,1,0.688,1,0.668,1,0.663,1,0.622,1,0.667,1,0.69,1,0.67,1,0.65,1,0.645,1,0.6,1,0.65,1,0.672,1,0.652,1,0.632,1,0.628,1,0.578,1,0.633,1,0.854,1,0.83,1,0.813,1,0.805,1,0.8,1,0.8,1,0.635,1,0.616,1,0.596,1,0.592,1,0.533,1,0.6,""
3838,"bad","d018083","d019888","d003277","d014205","d008497","e009240","d005725","d018827","d004082","e013794","e001639",0.237,0.73,0.265,0.638,0.286,0.584,0.295,0.546,0.3,0.7,0.3,0.5,0.158,0.706,0.177,0.61,0.191,0.553,0.197,0.514,0.2,0.667,0.2,0.467,0.119,0.693,0.132,0.596,0.143,0.537,0.148,0.497,0.15,0.65,0.15,0.45,0.079,0.681,0.088,0.581,0.095,0.522,0.098,0.481,0.1,0.633,0.1,0.433,0.474,0.803,0.53,0.723,0.572,0.678,0.591,0.644,0.6,0.8,0.6,0.6,0,0.657,0,0.553,0,0.491,0,0.449,0,0.6,0,0.4,""
3839,"good","e010067","e016226","e001212","e003257","e017941","e008869","d006727","d019994","e015744","e017941","e008457",0.708,0.343,0.701,0.447,0.69,0.509,0.69,0.551,0.633,0.4,0.7,0.6,0.684,0.343,0.673,0.447,0.658,0.509,0.657,0.551,0.6,0.4,0.667,0.6,0.672,0.343,0.659,0.447,0.643,0.509,0.641,0.551,0.583,0.4,0.65,0.6,0.659,0.343,0.645,0.447,0.627,0.509,0.625,0.551,0.567,0.4,0.633,0.6,0.781,0.343,0.786,0.447,0.783,0.509,0.788,0.551,0.733,0.4,0.8,0.6,0.635,0.343,0.616,0.447,0.596,0.509,0.592,0.551,0.533,0.4,0.6,0.6,""
3840,"b","e014617","d018119","b009219","d007721","d011173","d014205","e002664","e006058","e011087","e003638","e001386",0.109,1,0.107,1,0.108,1,0.106,1,0.133,1,0.1,1,0.073,1,0.071,1,0.072,1,0.071,1,0.089,1,0.067,1,0.055,1,0.053,1,0.054,1,0.053,1,0.067,1,0.05,1,0.036,1,0.036,1,0.036,1,0.035,1,0.044,1,0.033,1,0.219,1,0.214,1,0.217,1,0.212,1,0.267,1,0.2,1,0,1,0,1,0,1,0,1,0,1,0,1,""
3841,"bad","d014060","e017379","e013756","e013469","e008934","d012929","e013469","e008934","e009801","e017379","e013756",0.044,0,0.066,0,0.077,0,0.087,0,0.033,0,0.1,0,0.029,0,0.044,0,0.052,0,0.058,0,0.022,0,0.067,0,0.022,0,0.033,0,0.039,0,0.043,0,0.017,0,0.05,0,0.015,0,0.022,0,0.026,0,0.029,0,0.011,0,0.033,0,0.088,0,0.131,0,0.155,0,0.173,0,0.067,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,""
3842,"b","e012026","d013433","d006218","d011904","e003974","e002298","e019574","e013904","e012453","e013253","e014617",0.219,1,0.17,1,0.137,1,0.118,1,0.167,1,0.1,1,0.146,1,0.113,1,0.091,1,0.079,1,0.111,1,0.067,1,0.109,1,0.085,1,0.068,1,0.059,1,0.083,1,0.05,1,0.073,1,0.057,1,0.046,1,0.039,1,0.056,1,0.033,1,0.438,1,0.339,1,0.274,1,0.236,1,0.333,1,0.2,1,0,1,0,1,0,1,0,1,0,1,0,1,""
3843,"bad","d012288","e009801","e008934","d017930","d014411","e001198","e001198","e008934","e014472","b005827","d018983",0.255,0.088,0.316,0.131,0.355,0.155,0.378,0.173,0.333,0.067,0.4,0.2,0.255,0.088,0.316,0.131,0.355,0.155,0.378,0.173,0.333,0.067,0.4,0.2,0.255,0.088,0.316,0.131,0.355,0.155,0.378,0.173,0.333,0.067,0.4,0.2,0.255,0.088,0.316,0.131,0.355,0.155,0.378,0.173,0.333,0.067,0.4,0.2,0.255,0.088,0.316,0.131,0.355,0.155,0.378,0.173,0.333,0.067,0.4,0.2,0.255,0.088,0.316,0.131,0.355,0.155,0.378,0.173,0.333,0.067,0.4,0.2,""
